name,realm,rating,cls,spec,play,win,lose
Vatø,tarren-mill,1676,deathknight,unholy,60,27,33
Sangíus,blackmoore,1673,deathknight,unholy,353,171,182
Femilista,dun-modr,1671,deathknight,unholy,42,23,19
Faznik,twisting-nether,1671,deathknight,unholy,124,61,63
Адэлина,soulflayer,1669,deathknight,unholy,36,22,14
Nèrfx,ragnaros,1669,deathknight,unholy,78,37,41
Senkingodx,ravencrest,1668,deathknight,unholy,60,20,40
Zugzugdecay,kazzak,1665,deathknight,unholy,42,23,19
Synthwave,tarren-mill,1665,deathknight,unholy,99,46,53
Олинф,deathguard,1664,deathknight,unholy,62,26,36
Blazeberg,blackrock,1662,deathknight,unholy,58,33,25
Geraltbg,twisting-nether,1661,deathknight,unholy,42,18,24
Dräpârn,sylvanas,1660,deathknight,unholy,93,50,43
Økah,outland,1659,deathknight,unholy,54,25,29
Zdi,tarren-mill,1657,deathknight,unholy,47,23,24
Thezftw,kazzak,1656,deathknight,unholy,71,30,41
Средозавр,howling-fjord,1655,deathknight,unholy,48,31,17
Heyä,ysondre,1655,deathknight,unholy,54,25,29
Dasvidania,ragnaros,1651,deathknight,unholy,30,18,12
Тыпидо,howling-fjord,1650,deathknight,unholy,72,41,31
Reann,argent-dawn,1649,deathknight,unholy,55,31,24
Кидер,blackscar,1647,deathknight,unholy,53,29,24
Äyrenn,draenor,1645,deathknight,unholy,61,35,26
Mávé,tarren-mill,1645,deathknight,unholy,64,31,33
Leanâdle,hyjal,1644,deathknight,unholy,134,66,68
Смердонос,grom,1642,deathknight,unholy,209,116,93
Джонаджеймсн,soulflayer,1642,deathknight,unholy,42,21,21
Ayra,nethersturm,1641,deathknight,unholy,35,24,11
Creatar,kazzak,1639,deathknight,unholy,53,31,22
Sugarcakedk,blackrock,1638,deathknight,unholy,89,44,45
Çruél,silvermoon,1638,deathknight,unholy,48,21,27
Garrinchá,stormscale,1636,deathknight,unholy,48,21,27
Jiodythyy,archimonde,1634,deathknight,unholy,60,27,33
Дрогдош,howling-fjord,1633,deathknight,unholy,48,29,19
Акамахи,ashenvale,1631,deathknight,unholy,42,23,19
Гронташ,howling-fjord,1631,deathknight,unholy,71,36,35
Uvros,bloodhoof,1630,deathknight,unholy,48,23,25
Лапочки,gordunni,1628,deathknight,unholy,84,49,35
Khalifamia,alonsus,1628,deathknight,unholy,54,26,28
Zariia,twisting-nether,1627,deathknight,unholy,126,72,54
Herumor,nerzhul,1627,deathknight,unholy,60,32,28
Yusehz,kazzak,1627,deathknight,unholy,51,25,26
Dejkå,silvermoon,1627,deathknight,unholy,66,30,36
Deadlyorca,tarren-mill,1625,deathknight,unholy,42,18,24
Castlevanía,ravencrest,1623,deathknight,unholy,115,58,57
Сгеатог,gordunni,1623,deathknight,unholy,36,17,19
Smallbaboon,stormreaver,1623,deathknight,unholy,42,17,25
Ghoulish,outland,1622,deathknight,unholy,187,92,95
Apacsom,ragnaros,1621,deathknight,unholy,30,17,13
Quetza,twisting-nether,1621,deathknight,unholy,36,17,19
Кокосоус,gordunni,1618,deathknight,unholy,36,18,18
Xenfos,tarren-mill,1618,deathknight,unholy,54,23,31
Baltersa,blackhand,1618,deathknight,unholy,60,25,35
Rottenpete,grim-batol,1617,deathknight,unholy,36,20,16
Pandahapci,ragnaros,1617,deathknight,unholy,54,23,31
Qtxi,nozdormu,1614,deathknight,unholy,183,98,85
Линфео,galakrond,1614,deathknight,unholy,54,22,32
Jollíe,tarren-mill,1613,deathknight,unholy,53,33,20
Aeneriah,tarren-mill,1613,deathknight,unholy,91,50,41
Lurkkiss,ravencrest,1613,deathknight,unholy,48,22,26
Pellizquitas,sanguino,1612,deathknight,unholy,30,17,13
Dk,tarren-mill,1612,deathknight,unholy,48,20,28
Инлакеш,howling-fjord,1611,deathknight,unholy,57,25,32
Stinglelz,chogall,1610,deathknight,unholy,30,19,11
Bokrak,norgannon,1610,deathknight,unholy,123,73,50
Deathvid,ravencrest,1610,deathknight,unholy,78,43,35
Lichbørn,ragnaros,1610,deathknight,unholy,102,50,52
Giandam,draenor,1610,deathknight,unholy,48,19,29
Анзорини,gordunni,1609,deathknight,unholy,48,19,29
Garasu,eredar,1609,deathknight,unholy,54,21,33
Halez,antonidas,1607,deathknight,unholy,186,96,90
Sxyd,silvermoon,1607,deathknight,unholy,66,27,39
Вондум,howling-fjord,1606,deathknight,unholy,42,18,24
Orktra,stormscale,1604,deathknight,unholy,42,22,20
Шуршаня,blackscar,1604,deathknight,unholy,54,22,32
Sølîta,archimonde,1603,deathknight,unholy,89,47,42
Krisigaped,blackhand,1603,deathknight,unholy,36,17,19
Маххес,howling-fjord,1601,deathknight,unholy,101,48,53
Aceléss,drakthul,1600,deathknight,unholy,42,20,22
Nasxsy,blackmoore,1599,deathknight,unholy,36,18,18
Branchë,stormscale,1599,deathknight,unholy,111,55,56
Maxto,outland,1596,deathknight,unholy,36,19,17
Deathcaller,zuljin,1594,deathknight,unholy,65,32,33
Zoree,draenor,1588,deathknight,unholy,119,64,55
Yagoora,silvermoon,1588,deathknight,unholy,74,29,45
Kwc,kazzak,1586,deathknight,unholy,117,54,63
Ахелекус,blackscar,1584,deathknight,unholy,36,21,15
Raizhen,ragnaros,1582,deathknight,unholy,36,17,19
Bredox,ravencrest,1582,deathknight,unholy,63,27,36
Linuzbunny,zenedar,1580,deathknight,unholy,30,18,12
Skórm,burning-legion,1580,deathknight,unholy,36,17,19
Vexxed,magtheridon,1576,deathknight,unholy,99,55,44
Spøøk,defias-brotherhood,1575,deathknight,unholy,48,22,26
Слендер,howling-fjord,1572,deathknight,unholy,119,57,62
Judin,kazzak,1570,deathknight,unholy,36,19,17
Ктунец,blackscar,1570,deathknight,unholy,36,19,17
Ahilus,bladefist,1570,deathknight,unholy,67,33,34
Prekliatylad,burning-blade,1570,deathknight,unholy,60,26,34
Gødofredo,dun-modr,1568,deathknight,unholy,96,55,41
Megdeath,silvermoon,1568,deathknight,unholy,108,54,54
Jäätynyt,zenedar,1568,deathknight,unholy,350,170,180
Söttguetsi,blackrock,1566,deathknight,unholy,41,23,18
Lockhead,stormscale,1566,deathknight,unholy,126,66,60
Nysaia,blackmoore,1564,deathknight,unholy,60,27,33
Körthazz,hyjal,1563,deathknight,unholy,55,27,28
Хорссэ,soulflayer,1562,deathknight,unholy,37,22,15
Винерас,soulflayer,1562,deathknight,unholy,66,31,35
Oweiowei,blackrock,1558,deathknight,unholy,30,18,12
Ghaloob,draenor,1557,deathknight,unholy,54,24,30
Gushik,twisting-nether,1555,deathknight,unholy,52,30,22
Хассандра,galakrond,1554,deathknight,unholy,117,58,59
Smörj,aggramar,1554,deathknight,unholy,88,38,50
Feministi,stormreaver,1552,deathknight,unholy,108,51,57
Aleejha,draenor,1551,deathknight,unholy,70,39,31
Капустас,gordunni,1551,deathknight,unholy,90,45,45
Yamisukehiro,drakthul,1551,deathknight,unholy,60,28,32
Utyr,ragnaros,1550,deathknight,unholy,60,31,29
Emphendk,twisting-nether,1550,deathknight,unholy,120,55,65
Рамкар,howling-fjord,1550,deathknight,unholy,38,17,21
Hellguy,draenor,1548,deathknight,unholy,263,124,139
Gargalon,drakthul,1547,deathknight,unholy,72,37,35
Turboface,kazzak,1546,deathknight,unholy,60,34,26
Apoikos,argent-dawn,1546,deathknight,unholy,36,19,17
Abomination,emeriss,1546,deathknight,unholy,49,20,29
Misazabanshi,blackrock,1543,deathknight,unholy,42,26,16
Сванхильда,grom,1543,deathknight,unholy,124,61,63
Элекна,deepholm,1541,deathknight,unholy,48,24,24
Juliean,blackmoore,1540,deathknight,unholy,42,20,22
Ganessha,sanguino,1538,deathknight,unholy,49,29,20
Abcdk,sargeras,1535,deathknight,unholy,56,31,25
Metalmanethé,tarren-mill,1534,deathknight,unholy,242,120,122
Segrim,drakthul,1533,deathknight,unholy,95,52,43
Вурдулакх,gordunni,1533,deathknight,unholy,114,56,58
Pawcio,argent-dawn,1527,deathknight,unholy,135,74,61
Dzemoo,drakthul,1527,deathknight,unholy,59,31,28
Алсидис,gordunni,1527,deathknight,unholy,72,29,43
Руин,blackscar,1526,deathknight,unholy,48,26,22
Huekun,draenor,1524,deathknight,unholy,29,18,11
Арцевус,gordunni,1524,deathknight,unholy,115,59,56
Полонит,gordunni,1523,deathknight,unholy,76,38,38
Nauser,kazzak,1522,deathknight,unholy,53,28,25
Dörfl,antonidas,1521,deathknight,unholy,87,42,45
Олинфия,soulflayer,1521,deathknight,unholy,36,16,20
Panorboy,tarren-mill,1521,deathknight,unholy,36,16,20
Gripbroblem,nemesis,1521,deathknight,unholy,42,16,26
Woddey,blackrock,1520,deathknight,unholy,72,39,33
Yousaindk,blackrock,1519,deathknight,unholy,60,29,31
Deadroses,tarren-mill,1517,deathknight,unholy,78,49,29
Gharzhul,xavius,1517,deathknight,unholy,32,18,14
Goreshovel,stormscale,1517,deathknight,unholy,72,39,33
Торедх,howling-fjord,1516,deathknight,unholy,66,27,39
Athanatøs,archimonde,1514,deathknight,unholy,98,43,55
Greymarker,kirin-tor,1513,deathknight,unholy,66,37,29
Cleverb,silvermoon,1512,deathknight,unholy,33,18,15
Cayliadk,tarren-mill,1512,deathknight,unholy,86,46,40
Ехтрим,howling-fjord,1512,deathknight,unholy,65,30,35
Raust,xavius,1512,deathknight,unholy,74,33,41
Manego,eredar,1511,deathknight,unholy,30,18,12
Дерайв,gordunni,1511,deathknight,unholy,114,55,59
Катаринья,howling-fjord,1511,deathknight,unholy,53,24,29
Grendul,blackmoore,1510,deathknight,unholy,60,26,34
Anathela,dalaran,1508,deathknight,unholy,85,40,45
Трибунальщик,gordunni,1508,deathknight,unholy,60,27,33
Apoikia,argent-dawn,1507,deathknight,unholy,42,19,23
Руариди,gordunni,1504,deathknight,unholy,36,18,18
Salezians,drakthul,1503,deathknight,unholy,107,59,48
Numnuts,alakir,1502,deathknight,unholy,36,21,15
Lavonobatas,kazzak,1502,deathknight,unholy,54,27,27
Deathcam,emerald-dream,1502,deathknight,unholy,95,45,50
Derfitt,sanguino,1502,deathknight,unholy,96,45,51
Ezlar,silvermoon,1501,deathknight,unholy,49,29,20
Unchaindk,outland,1500,deathknight,unholy,136,68,68
Bertonilo,burning-legion,1500,deathknight,unholy,84,39,45
Dklékata,archimonde,1499,deathknight,unholy,43,20,23
Veçh,turalyon,1497,deathknight,unholy,58,25,33
Nødder,ragnaros,1496,deathknight,unholy,60,32,28
Anaralien,ravencrest,1494,deathknight,unholy,107,50,57
Babsyknight,wildhammer,1494,deathknight,unholy,114,52,62
Промештейн,gordunni,1493,deathknight,unholy,93,44,49
Apolyio,outland,1493,deathknight,unholy,53,21,32
Recoil,blackrock,1490,deathknight,unholy,26,17,9
Gegham,ravencrest,1490,deathknight,unholy,46,26,20
Rizzlerdk,blackhand,1489,deathknight,unholy,114,49,65
Axram,ravencrest,1487,deathknight,unholy,60,30,30
