,name,realm,rating,cls,spec,play,win,lose
275,Dunkàn,silvermoon,1190,deathknight,unholy,24,16,8
276,Abnormus,tarren-mill,1175,deathknight,unholy,45,19,26
277,Ridire,saurfang,1159,deathknight,unholy,31,15,16
278,Zerachy,blackmoore,1150,deathknight,unholy,18,12,6
279,Рыжаяпедаль,soulflayer,1150,deathknight,unholy,18,12,6
280,Dklol,dun-morogh,1150,deathknight,unholy,36,14,22
281,Numnutz,alakir,1149,deathknight,unholy,25,13,12
282,Lurkkiss,ravencrest,1149,deathknight,unholy,30,12,18
283,Frege,tarren-mill,1149,deathknight,unholy,30,12,18
284,Nødder,ragnaros,1145,deathknight,unholy,18,12,6
285,Sevatar,zuljin,1137,deathknight,unholy,18,12,6
286,Fineral,argent-dawn,1134,deathknight,unholy,24,12,12
287,Jowân,blackmoore,1131,deathknight,unholy,24,13,11
288,Qmy,outland,1131,deathknight,unholy,24,12,12
289,Razzvy,darkspear,1131,deathknight,unholy,24,12,12
290,Dêku,aegwynn,1130,deathknight,unholy,79,44,35
291,Asakurai,grim-batol,1126,deathknight,unholy,42,22,20
292,Híruzen,blackrock,1115,deathknight,unholy,30,15,15
293,Ârtjom,aegwynn,1106,deathknight,unholy,28,12,16
294,Saromón,ravencrest,1101,deathknight,unholy,30,18,12
295,Darkhallow,thrall,1100,deathknight,unholy,50,23,27
296,Roykoopa,hyjal,1099,deathknight,unholy,30,13,17
297,Apolyio,outland,1095,deathknight,unholy,35,14,21
298,Ashlëy,kaelthas,1091,deathknight,unholy,88,44,44
299,Охъламон,soulflayer,1090,deathknight,unholy,42,16,26
300,Джайвана,soulflayer,1057,deathknight,unholy,76,36,40
301,Pandahapci,ragnaros,1055,deathknight,unholy,18,11,7
302,Nysaia,blackmoore,1055,deathknight,unholy,18,11,7
303,Вовчан,howling-fjord,1055,deathknight,unholy,24,11,13
304,Sélyne,dalaran,1055,deathknight,unholy,30,11,19
305,Doozz,draenor,1055,deathknight,unholy,30,11,19
306,Капустас,gordunni,1054,deathknight,unholy,18,11,7
307,Deathcaller,zuljin,1054,deathknight,unholy,24,11,13
308,Trialist,dun-modr,1052,deathknight,unholy,18,11,7
309,Fýhr,silvermoon,1052,deathknight,unholy,18,11,7
310,Manovar,archimonde,1052,deathknight,unholy,24,11,13
311,Erodevil,kazzak,1051,deathknight,unholy,30,11,19
312,Maradk,drakthul,1048,deathknight,unholy,24,11,13
313,Dunklerlord,malfurion,1045,deathknight,unholy,24,11,13
314,Kixx,bloodfeather,1030,deathknight,unholy,47,17,30
315,Ezreo,neptulon,1029,deathknight,unholy,25,11,14
316,Мокраявода,soulflayer,1026,deathknight,unholy,94,49,45
317,Pamplemouse,burning-blade,1016,deathknight,unholy,79,36,43
318,Takåtry,archimonde,1004,deathknight,unholy,30,14,16
319,Tyrannus,earthen-ring,1000,deathknight,unholy,23,13,10
320,Gowther,blackmoore,999,deathknight,unholy,30,16,14
321,Karalun,nagrand,983,deathknight,unholy,36,16,20
322,Gathalion,the-maelstrom,980,deathknight,unholy,48,28,20
323,Fpsrvg,minahonda,980,deathknight,unholy,47,21,26
324,Assasínator,tarren-mill,964,deathknight,unholy,54,27,27
325,Сгеатог,gordunni,960,deathknight,unholy,18,10,8
326,Kaliro,sylvanas,960,deathknight,unholy,18,10,8
327,Aceléss,drakthul,960,deathknight,unholy,18,10,8
328,Кромгондк,soulflayer,960,deathknight,unholy,24,10,14
329,Gripbroblem,nemesis,960,deathknight,unholy,30,10,20
330,Nasxsy,blackmoore,959,deathknight,unholy,18,10,8
331,Apoikos,argent-dawn,959,deathknight,unholy,18,10,8
332,Ronsôn,terrordar,959,deathknight,unholy,24,10,14
333,Скизм,howling-fjord,959,deathknight,unholy,24,10,14
334,Exanex,ragnaros,957,deathknight,unholy,18,10,8
335,Funds,kazzak,957,deathknight,unholy,24,10,14
336,Logoz,dun-modr,956,deathknight,unholy,18,10,8
337,Eltorro,ravencrest,952,deathknight,unholy,30,10,20
338,Recoil,blackrock,925,deathknight,unholy,20,11,9
339,Sang,deathwing,912,deathknight,unholy,15,11,4
340,Asakim,tarren-mill,911,deathknight,unholy,17,10,7
341,Kaldhan,nemesis,910,deathknight,unholy,24,10,14
342,Aesthaetik,draenor,908,deathknight,unholy,17,10,7
343,Лордэнергон,gordunni,888,deathknight,unholy,16,10,6
344,Restodrowd,tarren-mill,888,deathknight,unholy,24,11,13
345,Orcborg,zuljin,868,deathknight,unholy,25,10,15
346,Usbdock,stormscale,864,deathknight,unholy,18,9,9
347,Rottenpete,grim-batol,864,deathknight,unholy,18,9,9
348,Khalifamia,alonsus,864,deathknight,unholy,18,9,9
349,Panorboy,tarren-mill,864,deathknight,unholy,18,9,9
350,Catloaf,silvermoon,864,deathknight,unholy,24,9,15
351,Маххес,howling-fjord,864,deathknight,unholy,24,9,15
352,Bephomet,onyxia,864,deathknight,unholy,33,9,24
353,Bertonilo,burning-legion,863,deathknight,unholy,18,9,9
354,Reapocalypse,blackhand,862,deathknight,unholy,24,9,15
355,Unholycard,argent-dawn,860,deathknight,unholy,18,9,9
356,Тзинч,soulflayer,859,deathknight,unholy,18,9,9
357,Tarfu,kazzak,856,deathknight,unholy,18,9,9
358,Ahlat,blackmoore,854,deathknight,unholy,12,9,3
359,Marcianorock,dalaran,850,deathknight,unholy,18,9,9
360,Deathcleave,burning-legion,845,deathknight,unholy,23,9,14
361,Évìl,stormscale,815,deathknight,unholy,17,9,8
362,Zot,twisting-nether,814,deathknight,unholy,18,10,8
363,Nauser,kazzak,813,deathknight,unholy,23,9,14
364,Trigárdon,antonidas,812,deathknight,unholy,18,9,9
365,Beinlausi,dalaran,807,deathknight,unholy,15,9,6
366,Arthursq,stormscale,806,deathknight,unholy,24,10,14
367,Шмуркич,gordunni,798,deathknight,unholy,23,10,13
368,Некронн,grom,795,deathknight,unholy,17,9,8
369,Oldu,haomarush,794,deathknight,unholy,39,15,24
370,Preddktwo,twisting-nether,768,deathknight,unholy,12,8,4
371,Radan,stormscale,768,deathknight,unholy,12,8,4
372,Psychopathz,tarren-mill,768,deathknight,unholy,12,8,4
373,Wórzzag,arygos,768,deathknight,unholy,12,8,4
374,Frostplague,aegwynn,768,deathknight,unholy,18,8,10
375,Silvergreed,kazzak,768,deathknight,unholy,18,8,10
376,Акамахи,ashenvale,768,deathknight,unholy,18,8,10
377,Кромгак,soulflayer,768,deathknight,unholy,18,8,10
378,Apacstanya,ragnaros,768,deathknight,unholy,18,8,10
379,Sanuky,blackrock,768,deathknight,unholy,18,8,10
380,Senkingodx,ravencrest,768,deathknight,unholy,24,8,16
381,Zatrina,blackrock,768,deathknight,unholy,24,8,16
382,Клиссанг,razuvious,768,deathknight,unholy,30,8,22
383,Amelia,ambossar,767,deathknight,unholy,12,8,4
384,Zff,hyjal,767,deathknight,unholy,12,8,4
385,Дедхо,soulflayer,767,deathknight,unholy,18,8,10
386,Промештейн,gordunni,767,deathknight,unholy,18,8,10
387,Аирфрост,howling-fjord,767,deathknight,unholy,18,8,10
388,Nuadar,outland,767,deathknight,unholy,24,8,16
389,Arthrex,twisting-nether,766,deathknight,unholy,12,8,4
390,Payat,aegwynn,766,deathknight,unholy,12,8,4
391,Krinoe,dalaran,766,deathknight,unholy,18,8,10
392,Крус,blackscar,766,deathknight,unholy,18,8,10
393,Zombienatíon,silvermoon,766,deathknight,unholy,24,8,16
394,Zegaan,kazzak,765,deathknight,unholy,24,8,16
395,Persefal,nemesis,765,deathknight,unholy,30,8,22
396,Mãshi,hyjal,764,deathknight,unholy,18,8,10
397,Деркхаус,soulflayer,762,deathknight,unholy,12,8,4
398,Badbrian,draenor,760,deathknight,unholy,12,8,4
399,Rognvald,les-sentinelles,755,deathknight,unholy,17,11,6
400,Ilovegouàng,khaz-modan,754,deathknight,unholy,24,8,16
401,Nickolass,skullcrusher,747,deathknight,unholy,18,8,10
402,Aldramil,gorgonnash,726,deathknight,unholy,24,9,15
403,Walkeni,defias-brotherhood,718,deathknight,unholy,17,8,9
404,Dklékata,archimonde,672,deathknight,unholy,12,7,5
405,Fyrkadk,aegwynn,672,deathknight,unholy,12,7,5
