name,realm,rating,cls,spec,play,win,lose
Clearlol,bleeding-hollow,1684,deathknight,unholy,48,23,25
Bellum,moon-guard,1681,deathknight,unholy,129,72,57
Billieeilish,sargeras,1681,deathknight,unholy,98,53,45
Hanung,tichondrius,1681,deathknight,unholy,35,18,17
Fakiez,kelthuzad,1679,deathknight,unholy,68,30,38
Kwolve,proudmoore,1678,deathknight,unholy,249,126,123
Krätos,zuljin,1677,deathknight,unholy,42,25,17
Dâki,blades-edge,1675,deathknight,unholy,114,63,51
Blacklabel,andorhal,1675,deathknight,unholy,72,31,41
Fasterjake,sargeras,1674,deathknight,unholy,134,73,61
Giveretms,azralon,1672,deathknight,unholy,42,19,23
Dill,madoran,1671,deathknight,unholy,48,20,28
Moonjae,illidan,1669,deathknight,unholy,30,18,12
Cantmove,area-52,1669,deathknight,unholy,50,22,28
Dreadrend,sargeras,1668,deathknight,unholy,72,35,37
Malhandir,azgalor,1668,deathknight,unholy,54,20,34
Spacealien,malganis,1667,deathknight,unholy,60,32,28
Malsedius,kelthuzad,1666,deathknight,unholy,122,56,66
Darktone,tichondrius,1665,deathknight,unholy,35,18,17
Slty,tichondrius,1664,deathknight,unholy,42,18,24
Ludgan,stormrage,1663,deathknight,unholy,198,95,103
Takeurcheeks,tichondrius,1662,deathknight,unholy,109,55,54
Lichtborne,illidan,1662,deathknight,unholy,73,33,40
Nevmic,emerald-dream,1661,deathknight,unholy,184,88,96
Bannedforevr,dalaran,1661,deathknight,unholy,69,29,40
Earthican,bleeding-hollow,1660,deathknight,unholy,50,26,24
Krargosh,quelthalas,1660,deathknight,unholy,185,96,89
Neaz,moon-guard,1659,deathknight,unholy,78,41,37
Mephostophel,sargeras,1659,deathknight,unholy,210,108,102
Ståtìc,tichondrius,1659,deathknight,unholy,84,43,41
Imadkloldie,frostmourne,1659,deathknight,unholy,90,46,44
Bopalop,malganis,1657,deathknight,unholy,69,28,41
Banjingquan,tichondrius,1656,deathknight,unholy,94,57,37
Kakarotó,azralon,1656,deathknight,unholy,65,37,28
Kjarnda,malganis,1653,deathknight,unholy,48,21,27
Skynyght,area-52,1652,deathknight,unholy,42,26,16
Pooseunpoose,velen,1652,deathknight,unholy,86,41,45
Jacklinn,ysondre,1651,deathknight,unholy,36,24,12
Ullísés,ragnaros,1651,deathknight,unholy,45,24,21
Merados,quelthalas,1651,deathknight,unholy,84,33,51
Jeremiahe,hyjal,1650,deathknight,unholy,90,49,41
Komplex,kelthuzad,1649,deathknight,unholy,76,40,36
Falkorn,korgath,1648,deathknight,unholy,99,47,52
Lickblood,sargeras,1646,deathknight,unholy,36,20,16
Orcsexual,azralon,1646,deathknight,unholy,54,28,26
Libitina,tichondrius,1645,deathknight,unholy,36,22,14
Tråuma,uther,1645,deathknight,unholy,48,25,23
Apoz,tichondrius,1644,deathknight,unholy,30,18,12
Vexxan,thrall,1644,deathknight,unholy,41,23,18
Galarick,area-52,1643,deathknight,unholy,41,22,19
Boneyards,bleeding-hollow,1643,deathknight,unholy,132,56,76
Beanboyx,tichondrius,1642,deathknight,unholy,34,18,16
Boofcigars,sargeras,1642,deathknight,unholy,52,27,25
Vleryan,ragnaros,1641,deathknight,unholy,44,22,22
Kurnoth,barthilas,1641,deathknight,unholy,110,53,57
Tailm,ragnaros,1639,deathknight,unholy,36,20,16
Raíndrop,tichondrius,1639,deathknight,unholy,156,85,71
Puppykisses,perenolde,1638,deathknight,unholy,143,67,76
Dkdanim,tichondrius,1637,deathknight,unholy,130,71,59
Vynox,frostmourne,1637,deathknight,unholy,56,27,29
Xhoul,sargeras,1636,deathknight,unholy,255,136,119
Virulous,zuljin,1634,deathknight,unholy,47,26,21
Rycerzfrost,ragnaros,1634,deathknight,unholy,113,59,54
Unholykevin,sargeras,1633,deathknight,unholy,48,23,25
Alexeous,wyrmrest-accord,1632,deathknight,unholy,250,136,114
Azibar,moon-guard,1632,deathknight,unholy,47,24,23
Raps,frostmourne,1632,deathknight,unholy,56,23,33
Reizu,ragnaros,1631,deathknight,unholy,45,27,18
Lùcius,garrosh,1631,deathknight,unholy,154,82,72
Azynks,azralon,1631,deathknight,unholy,135,62,73
Ermanotruta,azralon,1631,deathknight,unholy,94,41,53
Kenishii,kiljaeden,1629,deathknight,unholy,66,39,27
Zerochillz,sargeras,1628,deathknight,unholy,30,17,13
Cliffdk,kelthuzad,1628,deathknight,unholy,63,21,42
Asastac,tichondrius,1627,deathknight,unholy,42,24,18
Elyxoxo,tichondrius,1627,deathknight,unholy,84,44,40
Littlekims,emerald-dream,1627,deathknight,unholy,46,24,22
Wastethis,sargeras,1626,deathknight,unholy,71,40,31
Paratekdk,thrall,1625,deathknight,unholy,71,39,32
Megatroun,stormreaver,1625,deathknight,unholy,42,23,19
Bladê,tichondrius,1624,deathknight,unholy,61,26,35
Pettyk,tichondrius,1624,deathknight,unholy,42,17,25
Chachio,kiljaeden,1623,deathknight,unholy,36,20,16
Auniel,gorefiend,1622,deathknight,unholy,54,22,32
Puppykiss,perenolde,1622,deathknight,unholy,57,22,35
Asterend,proudmoore,1621,deathknight,unholy,52,23,29
Xraduky,dawnbringer,1620,deathknight,unholy,38,26,12
Yikk,illidan,1620,deathknight,unholy,66,33,33
Kallgìn,emerald-dream,1620,deathknight,unholy,71,33,38
Arcticc,area-52,1620,deathknight,unholy,54,24,30
Jacklynn,ragnaros,1619,deathknight,unholy,42,27,15
Struggler,velen,1619,deathknight,unholy,60,34,26
Annerito,area-52,1619,deathknight,unholy,47,19,28
Wheatasil,garona,1618,deathknight,unholy,70,36,34
Reapsouls,stormrage,1617,deathknight,unholy,42,30,12
Shadow,ragnaros,1616,deathknight,unholy,79,43,36
Søad,quelthalas,1615,deathknight,unholy,135,72,63
Loongdk,kiljaeden,1615,deathknight,unholy,249,124,125
Yamanji,wyrmrest-accord,1614,deathknight,unholy,110,61,49
Nøsfferatus,azralon,1613,deathknight,unholy,77,41,36
Kterrorblade,sargeras,1613,deathknight,unholy,180,92,88
Emopalli,tichondrius,1612,deathknight,unholy,182,93,89
Shakefknzula,tichondrius,1612,deathknight,unholy,104,51,53
Rezøk,ragnaros,1612,deathknight,unholy,54,20,34
